request,downloads
2012-06-24,2263
2012-06-25,4376
2012-06-26,4776
2012-06-27,4356
2012-06-28,4600
2012-06-29,5484
2012-06-30,2786
2012-07-01,2612
2012-07-02,5437
2012-07-03,5367
2012-07-04,3600
2012-07-05,3421
2012-07-06,1913
2012-07-07,1823
2012-07-08,1690
2012-07-09,1171
2012-07-10,6318
2012-07-11,3696
2012-07-12,2966
2012-07-13,3485
2012-07-14,2512
2012-07-15,2043
2012-07-16,4312
2012-07-17,4856
2012-07-18,2477
2012-07-19,4615
2012-07-20,4550
2012-07-21,2113
2012-07-22,1904
2012-07-23,4887
2012-07-24,4648
2012-07-25,4422
2012-07-26,4617
2012-07-27,4577
2012-07-28,2752
2012-07-29,1135
2012-07-30,4235
2012-07-31,5242
2012-08-01,5375
2012-08-02,5321
2012-08-03,5770
2012-08-04,901
2012-08-05,2658
2012-08-06,5398
2012-08-07,5631
2012-08-08,5949
2012-08-09,6099
2012-08-10,5367
2012-08-11,2788
2012-08-12,2041
2012-08-13,5982
2012-08-14,6219
2012-08-15,5958
2012-08-16,5927
2012-08-17,6009
2012-08-18,2941
2012-08-19,2806
2012-08-20,3334
2012-08-21,5929
2012-08-22,6296
2012-08-23,6880
2012-08-24,6546
2012-08-25,2800
2012-08-26,3261
2012-08-27,6261
2012-08-28,6401
2012-08-29,7310
2012-08-30,7452
2012-08-31,6577
2012-09-01,3500
2012-09-02,2717
2012-09-03,4935
2012-09-04,7497
2012-09-05,8618
2012-09-06,7786
2012-09-07,6653
2012-09-08,3703
2012-09-09,3448
2012-09-10,9381
2012-09-11,9907
2012-09-12,8871
2012-09-13,9038
2012-09-14,10059
2012-09-15,4812
2012-09-16,3999
2012-09-17,9110
2012-09-18,9459
2012-09-19,8845
2012-09-20,8421
2012-09-21,7475
2012-09-22,4559
2012-09-23,3515
2012-09-24,7827
2012-09-25,8375
2012-09-26,8087
2012-09-27,8073
2012-09-28,7854
2012-09-29,3881
2012-09-30,3276
2012-10-01,7436
2012-10-02,8425
2012-10-03,7586
2012-10-04,7275
2012-10-05,7404
2012-10-06,4182
2012-10-07,3645
2012-10-08,7198
2012-10-09,9335
2012-10-10,9528
2012-10-11,9259
2012-10-12,8088
2012-10-13,4084
2012-10-14,3784
2012-10-15,7380
2012-10-16,8761
2012-10-17,7471
2012-10-18,8249
2012-10-19,6427
2012-10-20,3160
2012-10-21,731
2012-10-22,2377
2012-10-23,10013
2012-10-24,8774
2012-10-25,12090
2012-10-26,13017
2012-10-27,4911
2012-10-28,4409
2012-10-29,8275
2012-10-30,8313
2012-10-31,8674
2012-11-01,8077
2012-11-02,7413
2012-11-03,4852
2012-11-04,3720
2012-11-05,7845
2012-11-06,8913
2012-11-07,1687
2012-11-08,6833
2012-11-09,9685
2012-11-10,5241
2012-11-11,3804
2012-11-12,8148
2012-11-13,8634
2012-11-14,9370
2012-11-15,8882
2012-11-16,8332
2012-11-17,3988
2012-11-18,3484
2012-11-19,8464
2012-11-20,9599
2012-11-21,9838
2012-11-22,6862
2012-11-23,6149
2012-11-24,3261
2012-11-25,3119
2012-11-26,9307
2012-11-27,9934
2012-11-28,9818
2012-11-29,10287
2012-11-30,10997
2012-12-01,4593
2012-12-02,4410
2012-12-03,9597
2012-12-04,10355
2012-12-05,9448
2012-12-06,9383
2012-12-07,9179
2012-12-08,3874
2012-12-09,3526
2012-12-10,8685
2012-12-11,9908
2012-12-12,9741
2012-12-13,9697
2012-12-14,8509
2012-12-15,4533
2012-12-16,3898
2012-12-17,9233
2012-12-18,10673
2012-12-19,9879
2012-12-20,9164
2012-12-21,7684
2012-12-22,4271
2012-12-23,4910
2012-12-24,4635
2012-12-25,3295
2012-12-26,5057
2012-12-27,6667
2012-12-28,6667
2012-12-29,3931
2012-12-30,3649
2012-12-31,4403
2013-01-01,2865
2013-01-02,8089
2013-01-03,8884
2013-01-04,8499
2013-01-05,5102
2013-01-06,4882
2013-01-07,10558
2013-01-08,10790
2013-01-09,11200
2013-01-10,10280
2013-01-11,9922
2013-01-12,4896
2013-01-13,4408
2013-01-14,10470
2013-01-15,11830
2013-01-16,11046
2013-01-17,12297
2013-01-18,11882
2013-01-19,5591
2013-01-20,5126
2013-01-21,10343
2013-01-22,11648
2013-01-23,12682
2013-01-24,11339
2013-01-25,11365
2013-01-26,6857
2013-01-27,7351
2013-01-28,11516
2013-01-29,12649
2013-01-30,14175
2013-01-31,13055
2013-02-01,12170
2013-02-02,6917
2013-02-03,6743
2013-02-04,11064
2013-02-05,13211
2013-02-06,13698
2013-02-07,15914
2013-02-08,15079
2013-02-09,9429
2013-02-10,10045
2013-02-11,14475
2013-02-12,15505
2013-02-13,13005
2013-02-14,12802
2013-02-15,12752
2013-02-16,7148
2013-02-17,6841
2013-02-18,12856
2013-02-19,2746
2013-02-20,16651
2013-02-21,16144
2013-02-22,15273
2013-02-23,7662
2013-02-24,7024
2013-02-25,15024
2013-02-26,16927
2013-02-27,15921
2013-02-28,14991
2013-03-01,14125
2013-03-02,7000
2013-03-03,5856
2013-03-04,13275
2013-03-05,14834
2013-03-06,14212
2013-03-07,14741
2013-03-08,12454
2013-03-09,7257
2013-03-10,6217
2013-03-11,13424
2013-03-12,15489
2013-03-13,17518
2013-03-14,18136
2013-03-15,17169
2013-03-16,9730
2013-03-17,9662
2013-03-18,18815
2013-03-19,21171
2013-03-20,19900
2013-03-21,18734
2013-03-22,16670
2013-03-23,9100
2013-03-24,10212
2013-03-25,17325
2013-03-26,17790
2013-03-27,17520
2013-03-28,18195
2013-03-29,13741
2013-03-30,7293
2013-03-31,6193
2013-04-01,11913
2013-04-02,16477
2013-04-03,17417
2013-04-04,18902
2013-04-05,16488
2013-04-06,7447
2013-04-07,7949
2013-04-08,16743
2013-04-09,18484
2013-04-10,17559
2013-04-11,17716
2013-04-12,16450
2013-04-13,7738
2013-04-14,8777
2013-04-15,15446
2013-04-16,18526
2013-04-17,19286
2013-04-18,18859
2013-04-19,16984
2013-04-20,8424
2013-04-21,11163
2013-04-22,21899
2013-04-23,23753
2013-04-24,25247
2013-04-25,22679
2013-04-26,21477
2013-04-27,11200
2013-04-28,9577
2013-04-29,21220
2013-04-30,21887
2013-05-01,19542
2013-05-02,21774
2013-05-03,21975
2013-05-04,9777
2013-05-05,9665
2013-05-06,20497
2013-05-07,4052
